era,country_status,avg_team_score,avg_medals,unique_countries,avg_participants
Cold War Era (1971-1991),Host,133.64705882352942,4.9411764705882355,15,6
Cold War Era (1971-1991),Transitioned,114.2,4.4,5,6
Cold War Era (1971-1991),Stable,87.15026921194323,2.8761625061184533,103,5.559471365638767
Contemporary Era (2020-),Host,130,4.666666666666667,3,6
Contemporary Era (2020-),Transitioned,114.2,4.4,5,6
Contemporary Era (2020-),Stable,87.28515625,2.8828125,103,5.560546875
Early Period (1959-1970),Host,141.55555555555554,5.777777777777778,6,6
Early Period (1959-1970),Transitioned,114.2,4.4,5,6
Early Period (1959-1970),Stable,87.13773431132844,2.8720456397718013,103,5.559902200488998
Modern Era (2001-2019),Host,126.27777777777777,4.888888888888889,17,6
Modern Era (2001-2019),Transitioned,114.2,4.4,5,6
Modern Era (2001-2019),Stable,87.17431665807118,2.8746776689014957,103,5.559051057246003
Post-Soviet Era (1992-2000),Host,142.625,5.5,8,6
Post-Soviet Era (1992-2000),Transitioned,114.2,4.4,5,6
Post-Soviet Era (1992-2000),Stable,87.0544069640914,2.870511425462459,103,5.55930359085963
